,Poster,Likes_count,Liker
0,TomPage_CMS,22,LloydsBankBiz
1,declancurry,18,LloydsBankBiz
2,RedBerryRec,24,LloydsBankBiz
3,LBGAmbNorth,23,LloydsBankBiz
4,LBGAmbSthWest,7,LloydsBankBiz
5,BiffBean,17,LloydsBankBiz
6,M2Lasers,10,LloydsBankBiz
7,chwaraeteg,19,LloydsBankBiz
8,BusinessNland,14,LloydsBankBiz
9,CMS_law,21,LloydsBankBiz
10,Nexus_Rental,7,LloydsBankBiz
11,GasTagUK,18,LloydsBankBiz
12,WMGrowth,8,LloydsBankBiz
13,AliBirtwell,19,LloydsBankBiz
14,ReasonDigital,19,LloydsBankBiz
15,BOSS_HR,18,LloydsBankBiz
16,businessawards,79,LloydsBankBiz
17,UKFast,20,LloydsBankBiz
