,Poster,Likes_count,Liker
0,techtravelcode,12,Maigen
1,Jeffrey46223730,34,Maigen
2,kittenwithawhip,13,Maigen
3,jlengstorf,5,Maigen
4,SarahMElSayed,1,Maigen
5,HobackSara,2,Maigen
6,filchyboy,22,Maigen
7,ttalkradio,4,Maigen
8,katkodes,5,Maigen
9,NerdyAndNatural,1,Maigen
10,dullbleu,17,Maigen
11,TrumpHaterPDX,16,Maigen
12,jvn,15,Maigen
13,MilesMeehan,36,Maigen
14,janel_hull,36,Maigen
15,Dalmatio,1,Maigen
16,EvanSciNbanjo,34,Maigen
17,KendraKJKelly,1,Maigen
18,s_dute,31,Maigen
19,kdbrecht,4,Maigen
20,ACT_WConf,15,Maigen
21,LouisatheLast,31,Maigen
22,WiselySnipes,3,Maigen
23,Empathic_Dev,13,Maigen
24,nerdnomadmom,13,Maigen
25,TheWileyMiller,19,Maigen
26,NOW1SOLAR,5,Maigen
27,Jamesjimjimmy,39,Maigen
28,MichaelAvenatti,7,Maigen
29,perrysetgo,123,Maigen
30,ThinkAheadIT,18,Maigen
31,ParissAthena,8,Maigen
32,PracadAmy,5,Maigen
33,KatieofCode,1,Maigen
34,emrazz,2,Maigen
35,chicktechorg,7,Maigen
