,Poster,Likes_count,Liker
0,MotherJones,2,MattZetaBaen
1,dandrezner,11,MattZetaBaen
2,SimoneGiertz,3,MattZetaBaen
3,dbkrupp,12,MattZetaBaen
4,kellyblaus,3,MattZetaBaen
5,VyceVictus,9,MattZetaBaen
6,BoingBoing,3,MattZetaBaen
7,JMColony,18,MattZetaBaen
8,BuzzFeedNews,1,MattZetaBaen
9,choo_ek,51,MattZetaBaen
10,carlzimmer,5,MattZetaBaen
11,HANSEN_SOGROOVY,6,MattZetaBaen
12,Guerrerodelmar2,12,MattZetaBaen
13,OpheliaBenson,1,MattZetaBaen
14,mtsw,8,MattZetaBaen
15,DianeRavitch,1,MattZetaBaen
16,Pithy_Remark,62,MattZetaBaen
17,MikeVanderbilt,2,MattZetaBaen
18,DrJenGunter,16,MattZetaBaen
19,Claire_Voltaire,3,MattZetaBaen
20,ladonnapietra,16,MattZetaBaen
21,AndrewSshi,3,MattZetaBaen
22,EnderRaptor,1,MattZetaBaen
23,Halalcoholism,5,MattZetaBaen
24,cjcmichel,5,MattZetaBaen
25,notwokieleaks,5,MattZetaBaen
26,drskyskull,48,MattZetaBaen
27,Extinct_AnimaIs,1,MattZetaBaen
28,AndrewWK,1,MattZetaBaen
29,MichaelEMann,5,MattZetaBaen
30,samstein,2,MattZetaBaen
31,pattonoswalt,8,MattZetaBaen
32,annegalloway,5,MattZetaBaen
33,Alyssa_Milano,1,MattZetaBaen
34,sturgidson,5,MattZetaBaen
35,thejoshl,1,MattZetaBaen
36,pickover,8,MattZetaBaen
37,DTantaquidgeon,3,MattZetaBaen
38,Arielrocks5,2,MattZetaBaen
39,im_PULSE,2,MattZetaBaen
40,IBJIYONGI,4,MattZetaBaen
41,CenterForBioDiv,2,MattZetaBaen
42,DoctorYasmin,16,MattZetaBaen
43,caleb_crain,1,MattZetaBaen
44,brundlefly,5,MattZetaBaen
45,OliverKamm,12,MattZetaBaen
46,Nickrob,4,MattZetaBaen
47,BradMossEsq,2,MattZetaBaen
48,uberfeminist,3,MattZetaBaen
49,MU_Peter,17,MattZetaBaen
50,Brontofelis,2,MattZetaBaen
51,TippingElements,3,MattZetaBaen
52,ngmcclernan,5,MattZetaBaen
53,realwokieleaks,5,MattZetaBaen
54,xeni,5,MattZetaBaen
55,doctorow,4,MattZetaBaen
56,mbalter,15,MattZetaBaen
57,DavidFutrelle,2,MattZetaBaen
58,RickSmithShow,3,MattZetaBaen
59,wesleysnipes,5,MattZetaBaen
60,emptywheel,1,MattZetaBaen
61,TheStalwart,4,MattZetaBaen
