,Poster,Likes_count,Liker
0,AmandeeTweets,25,MaurerBroadway
1,SamuelLJackson,23,MaurerBroadway
2,JKCorden,36,MaurerBroadway
3,jakeandamir,31,MaurerBroadway
4,illoydwebber,37,MaurerBroadway
5,tarastrong,68,MaurerBroadway
6,SethAldini,18,MaurerBroadway
7,KamalaHarris,27,MaurerBroadway
8,landpsychology,20,MaurerBroadway
9,Lin_Manuel,120,MaurerBroadway
10,ThatKevinSmith,10,MaurerBroadway
11,rejectedjokes,16,MaurerBroadway
12,BrizzyVoices,33,MaurerBroadway
13,WhitfordBradley,4,MaurerBroadway
14,DaveedDiggs,27,MaurerBroadway
15,andymientus,18,MaurerBroadway
