,Poster,Likes_count,Liker
0,TODAYshow,15,MeCookieMonster
1,Kmart,24,MeCookieMonster
2,TraceeEllisRoss,12,MeCookieMonster
3,faylisa,24,MeCookieMonster
4,anniecolbert,42,MeCookieMonster
5,PinkSparkleTutu,28,MeCookieMonster
6,alexgill,20,MeCookieMonster
7,greenfurrydude,13,MeCookieMonster
8,hqtrivia,20,MeCookieMonster
9,ILonaB1980,22,MeCookieMonster
10,Pink_About_it,14,MeCookieMonster
11,BowleroBowl,29,MeCookieMonster
12,Guggenheim,24,MeCookieMonster
13,TATG_Kairi,18,MeCookieMonster
14,EmpireWriters,17,MeCookieMonster
15,catekustanczy,21,MeCookieMonster
16,TwitterFood,72,MeCookieMonster
17,oureric,25,MeCookieMonster
