,Poster,Likes_count,Liker
0,ChrisG_NSF,29,Michele010314
1,nova_road,8,Michele010314
2,NASA,1,Michele010314
3,_TomCross_,5,Michele010314
4,Mike_Seeley,19,Michele010314
5,nextspaceflight,91,Michele010314
6,julia_bergeron,177,Michele010314
7,caitlin_cala27,32,Michele010314
8,w00ki33,26,Michele010314
9,SpaceXFleet,20,Michele010314
10,jgm41,2,Michele010314
11,johnkrausphotos,68,Michele010314
12,CapeCanaveralFL,8,Michele010314
13,SpaceX,5,Michele010314
14,elonmusk,25,Michele010314
15,FairingCatcher,38,Michele010314
16,CocoaBeach_City,8,Michele010314
17,alexwitze,4,Michele010314
18,Mimikry_,13,Michele010314
19,Astro_Mike,12,Michele010314
20,NASA_Nerd,13,Michele010314
