,Poster,Likes_count,Liker
0,BazgrimTV,1,MikeLary88
1,Model3Owners,30,MikeLary88
2,LikeTeslaKim,17,MikeLary88
3,FredericLambert,4,MikeLary88
4,tommolog,8,MikeLary88
5,kimpaquette,53,MikeLary88
6,rick_scinta,5,MikeLary88
7,bonnienorman,2,MikeLary88
8,MKBHD,5,MikeLary88
9,martinengwicht,14,MikeLary88
10,AntonioParis,22,MikeLary88
11,arielhelwani,28,MikeLary88
12,KaziooFX,1,MikeLary88
13,InsideEVs,46,MikeLary88
14,ElectrekCo,45,MikeLary88
15,sayno2gas,23,MikeLary88
16,LeilaniMunter,21,MikeLary88
17,Teslarati,1,MikeLary88
18,TonyFergusonXT,3,MikeLary88
19,LordAstinus,2,MikeLary88
20,m_xalher,13,MikeLary88
21,ScottCoker,31,MikeLary88
22,weezles1,3,MikeLary88
23,GinaDrivingEV,2,MikeLary88
24,answerswithjoe,28,MikeLary88
25,SpaceX,40,MikeLary88
26,AlexandreDizeux,5,MikeLary88
27,Cmdr_Hadfield,4,MikeLary88
28,elonmusk,40,MikeLary88
29,superchargefeed,66,MikeLary88
30,CloudNetworkGuy,3,MikeLary88
31,TritiumAus,17,MikeLary88
32,jakbaum,3,MikeLary88
