,Poster,Likes_count,Liker
0,erikvos,31,MisterGreenEV
1,lexfridman,27,MisterGreenEV
2,robertvg,23,MisterGreenEV
3,ZweersK,22,MisterGreenEV
4,elonmusk,25,MisterGreenEV
5,bobbyllew,40,MisterGreenEV
6,VincentDekker4,67,MisterGreenEV
7,HansNoordsij,67,MisterGreenEV
8,RobJetten,30,MisterGreenEV
9,RickFowler01,29,MisterGreenEV
10,schuttes,32,MisterGreenEV
11,janrotmans,20,MisterGreenEV
12,Klimaatzuster,24,MisterGreenEV
13,str03k,23,MisterGreenEV
14,jpaternotte,25,MisterGreenEV
15,AukeHoekstra,31,MisterGreenEV
16,ErnstLissauer,29,MisterGreenEV
17,dirkvandenblink,23,MisterGreenEV
