,Poster,Likes_count,Liker
0,amazongames,60,NintendoAmerica
1,Minecraft,76,NintendoAmerica
2,thinkgeek,55,NintendoAmerica
3,Shekolate7,71,NintendoAmerica
4,GameStop,55,NintendoAmerica
5,LamarrWilson,36,NintendoAmerica
6,NSquaredPlays,38,NintendoAmerica
7,yosp,43,NintendoAmerica
8,googlemaps,48,NintendoAmerica
9,geoffkeighley,39,NintendoAmerica
10,Hallmark,47,NintendoAmerica
11,FortniteGame,56,NintendoAmerica
12,DodgeRollGames,37,NintendoAmerica
13,platinumgames,53,NintendoAmerica
14,BertimusPrime86,52,NintendoAmerica
15,warpzonetweets,30,NintendoAmerica
16,buildabear,54,NintendoAmerica
17,ijustine,57,NintendoAmerica
18,justdancegame,53,NintendoAmerica
