,Poster,Likes_count,Liker
0,ciara,5,OSMOSlSJONES
1,OT7whore,1,OSMOSlSJONES
2,RICOriq,12,OSMOSlSJONES
3,badbitchbbeca,9,OSMOSlSJONES
4,MEENAVOGUEE,10,OSMOSlSJONES
5,blkgirlculture,17,OSMOSlSJONES
6,Beckyg_news_JPN,3,OSMOSlSJONES
7,vLeninBar,4,OSMOSlSJONES
8,Zendaya,5,OSMOSlSJONES
9,CallMeKada,1,OSMOSlSJONES
10,NikitaDragun,4,OSMOSlSJONES
11,misslaneym,1,OSMOSlSJONES
12,jocilynr13,2,OSMOSlSJONES
13,hanginwitcoop,4,OSMOSlSJONES
14,kjhfansite,12,OSMOSlSJONES
15,BrooklynYel,27,OSMOSlSJONES
16,pimpcessshannon,3,OSMOSlSJONES
17,iambeckyg,20,OSMOSlSJONES
18,wtfrashawn,5,OSMOSlSJONES
19,UduakIsBae,2,OSMOSlSJONES
20,AmazonLoni,5,OSMOSlSJONES
21,VIPotato,9,OSMOSlSJONES
22,fentykonic,2,OSMOSlSJONES
23,chuuzus,4,OSMOSlSJONES
24,juannisaac,12,OSMOSlSJONES
25,briasinterlde,2,OSMOSlSJONES
26,livorleave,2,OSMOSlSJONES
27,itsrjhill,4,OSMOSlSJONES
28,J_rayson,10,OSMOSlSJONES
29,guxpogus,4,OSMOSlSJONES
30,djibaddie,1,OSMOSlSJONES
31,Alecks1800,3,OSMOSlSJONES
32,JoyyUnSpeakable,5,OSMOSlSJONES
33,lowkeyclutch,2,OSMOSlSJONES
34,Stellarnessa,1,OSMOSlSJONES
35,helloyunhyeong,15,OSMOSlSJONES
36,JoHerrstedt,17,OSMOSlSJONES
37,SocialistBeauty,2,OSMOSlSJONES
38,filmfare,3,OSMOSlSJONES
39,kereenashalorna,4,OSMOSlSJONES
40,cocoadiosa,3,OSMOSlSJONES
41,gurlflorid,1,OSMOSlSJONES
42,KevOnStage,4,OSMOSlSJONES
43,ChainbodyYoni,3,OSMOSlSJONES
44,fluff,4,OSMOSlSJONES
45,JassyElise,4,OSMOSlSJONES
46,Fatima_was_i,2,OSMOSlSJONES
47,sillyolddaniel,12,OSMOSlSJONES
48,toulousevevo,18,OSMOSlSJONES
49,DEFinition223,3,OSMOSlSJONES
50,_ayosworldd,13,OSMOSlSJONES
51,RickyFromMiami,2,OSMOSlSJONES
52,mahalia,6,OSMOSlSJONES
53,nicolegrnd,4,OSMOSlSJONES
54,beckysynthesis,20,OSMOSlSJONES
55,beyoncehatesme,7,OSMOSlSJONES
