,Poster,Likes_count,Liker
0,reydelhumo,1,PeterSanchez
1,BillyBaldwin,18,PeterSanchez
2,ModestySanchez,21,PeterSanchez
3,redturn2,12,PeterSanchez
4,nixcraft,7,PeterSanchez
5,CroswhiteDesign,9,PeterSanchez
6,loon,21,PeterSanchez
7,miss_shelved,13,PeterSanchez
8,Lunacero,23,PeterSanchez
9,Fitoria,15,PeterSanchez
10,MrsMessiness,6,PeterSanchez
11,htplbc,23,PeterSanchez
12,technivore,70,PeterSanchez
13,CenterForBioDiv,2,PeterSanchez
14,dhh,15,PeterSanchez
15,nicadispatch,39,PeterSanchez
16,briantylercohen,4,PeterSanchez
17,brenankeller,16,PeterSanchez
18,manicsocratic,20,PeterSanchez
