,Poster,Likes_count,Liker
0,stephenfry,51,PrimalColin2
1,FreedomofPress,59,PrimalColin2
2,loop_daddy,22,PrimalColin2
3,marcrebillet,31,PrimalColin2
4,ivannambaron,64,PrimalColin2
5,kwilli1046,11,PrimalColin2
6,Trilliant,364,PrimalColin2
7,BBCSounds,44,PrimalColin2
8,WDSecurity,42,PrimalColin2
9,AlexHorne,59,PrimalColin2
10,MissyElliott,17,PrimalColin2
11,RedDwarfHQ,62,PrimalColin2
12,GlastoFest,63,PrimalColin2
13,CHIMPSINSOCKS,51,PrimalColin2
14,tricleantech,136,PrimalColin2
15,DViperz_,62,PrimalColin2
