,Poster,Likes_count,Liker
0,AndySpecht,29,ProgressNow_NC
1,neeratanden,18,ProgressNow_NC
2,edwardf56,31,ProgressNow_NC
3,CleverTitleTK,5,ProgressNow_NC
4,JoeBrunoWSOC9,145,ProgressNow_NC
5,mradio,15,ProgressNow_NC
6,ProgressNC_GB,22,ProgressNow_NC
7,darren_janz,80,ProgressNow_NC
8,Reese6wilson,30,ProgressNow_NC
9,birchtreeweb,43,ProgressNow_NC
10,bolderpusher112,22,ProgressNow_NC
11,jay_chaudhuri,11,ProgressNow_NC
12,BowTiePolitics,27,ProgressNow_NC
13,NickOchsnerWBTV,29,ProgressNow_NC
14,Marc_Ullman,34,ProgressNow_NC
15,lubin1943,32,ProgressNow_NC
16,orrand_cristel,4,ProgressNow_NC
17,LoganJames,17,ProgressNow_NC
18,democracync,16,ProgressNow_NC
19,JCPolitics,3,ProgressNow_NC
20,jaketapper,24,ProgressNow_NC
21,jimmorrill,4,ProgressNow_NC
22,tonyq7947,17,ProgressNow_NC
