,Poster,Likes_count,Liker
0,TwoCanSamAdams,4,RBcochrane
1,JustinTrudeau,3,RBcochrane
2,KathleenSawisky,4,RBcochrane
3,5Bluejays,5,RBcochrane
4,ananavarro,4,RBcochrane
5,79reasons,11,RBcochrane
6,LandryLes,30,RBcochrane
7,bamboozle1999,1,RBcochrane
8,CalgaryPolice,3,RBcochrane
9,kabalguy,7,RBcochrane
10,longjohnindex,4,RBcochrane
11,dmhmcfarlane,15,RBcochrane
12,YYCCarolyn,11,RBcochrane
13,drex,1,RBcochrane
14,Tim_Pettit_,3,RBcochrane
15,hainsworthtv,15,RBcochrane
16,jackieklovell,7,RBcochrane
17,Leah_McRorie,17,RBcochrane
18,SwedishCanary,10,RBcochrane
19,SMandel_AB,5,RBcochrane
20,coachlila,2,RBcochrane
21,BadLibrarian,30,RBcochrane
22,calgaryherald,1,RBcochrane
23,markusoff,5,RBcochrane
24,GeoffyPJohnston,101,RBcochrane
25,nationalpost,4,RBcochrane
26,roti888,6,RBcochrane
27,Dave_Khan,3,RBcochrane
28,ClairesOwner,2,RBcochrane
29,ABPartyCaucus,4,RBcochrane
30,CBCNews,8,RBcochrane
31,websterssay,15,RBcochrane
32,AlexpiersonAMP,1,RBcochrane
33,Arenmay79,3,RBcochrane
34,NSblinggirl,5,RBcochrane
35,MFedeyko,2,RBcochrane
36,CBCIndigenous,4,RBcochrane
37,blackbird726,4,RBcochrane
38,Crackmacs,4,RBcochrane
39,sonyasavage,3,RBcochrane
40,mattgurney,1,RBcochrane
41,AuthorErinChase,2,RBcochrane
42,calgaryrants,4,RBcochrane
43,BryanPassifiume,4,RBcochrane
44,lgontaweddings,11,RBcochrane
45,Cmdr_Hadfield,5,RBcochrane
46,KeiraSavage00,4,RBcochrane
47,paul_dunphy,3,RBcochrane
48,ConsumerSOS,14,RBcochrane
49,DavidStaplesYEG,5,RBcochrane
50,adoolan34,15,RBcochrane
51,CstCJMartin,5,RBcochrane
52,HamiltonJohnD,4,RBcochrane
53,northstoryCA,4,RBcochrane
54,meridithmcgraw,1,RBcochrane
55,WPCAChucks,3,RBcochrane
56,Muddog2626,1,RBcochrane
57,BobRae48,3,RBcochrane
