,Poster,Likes_count,Liker
0,SpaceX,16,RUExperienced_J
1,JohnEkdahl,3,RUExperienced_J
2,1stbornAmerican,15,RUExperienced_J
3,brianksphotos,23,RUExperienced_J
4,oldpicsarchive,17,RUExperienced_J
5,patcondell,13,RUExperienced_J
6,_Drew_McCoy_,17,RUExperienced_J
7,JohnStossel,9,RUExperienced_J
8,willpdavis,18,RUExperienced_J
9,joebarnard,12,RUExperienced_J
10,_TomCross_,44,RUExperienced_J
11,USLaunchReport,3,RUExperienced_J
12,MichelleInCAL,38,RUExperienced_J
13,TheH2,21,RUExperienced_J
14,DJSnM,105,RUExperienced_J
15,_Peter_Cook,14,RUExperienced_J
16,KSpaceAcademy,5,RUExperienced_J
17,benshapiro,28,RUExperienced_J
18,ChrisG_NSF,14,RUExperienced_J
19,politicalelle,10,RUExperienced_J
20,flying_briann,15,RUExperienced_J
21,M_to_the_ADAMS,29,RUExperienced_J
22,RyanAFournier,3,RUExperienced_J
23,elonmusk,27,RUExperienced_J
24,CowboyDanPaasch,4,RUExperienced_J
25,SpaceflightInc,6,RUExperienced_J
26,WidespreadPanic,3,RUExperienced_J
27,Rogozin,30,RUExperienced_J
28,FilmLadd,4,RUExperienced_J
29,Super70sSports,20,RUExperienced_J
30,KenGardner11,28,RUExperienced_J
31,NASASpaceflight,6,RUExperienced_J
32,johnkrausphotos,22,RUExperienced_J
33,charliekirk11,3,RUExperienced_J
