,Poster,Likes_count,Liker
0,LTF_01,53,Race__Realist
1,Bananaaquamelon,3,Race__Realist
2,ConradPolloi,1,Race__Realist
3,Neuro_Skeptic,13,Race__Realist
4,civilitywarrior,5,Race__Realist
5,Cinderwooded,20,Race__Realist
6,OrwellNGoode,5,Race__Realist
7,hangingnoodles,2,Race__Realist
8,cecilejanssens,39,Race__Realist
9,BretWeinstein,4,Race__Realist
10,Mangan150,19,Race__Realist
11,discordspies,27,Race__Realist
12,JaySee02,5,Race__Realist
13,drakebigshep,4,Race__Realist
14,TimeLostYeti,3,Race__Realist
15,HarmlessYardDog,4,Race__Realist
16,logicalquarrels,9,Race__Realist
17,equalitus,5,Race__Realist
18,nathancofnas,23,Race__Realist
19,_SaIsola,1,Race__Realist
20,RealYeyoZa,16,Race__Realist
21,HbdNrx,15,Race__Realist
22,kirbmarc,3,Race__Realist
23,ent3c,7,Race__Realist
24,FilmCriticOne,2,Race__Realist
25,TuitNutrition,2,Race__Realist
26,femalemanlet,1,Race__Realist
27,realwokieleaks,3,Race__Realist
28,bac__one,3,Race__Realist
29,SaucercrabZero,5,Race__Realist
30,Partisangirl,1,Race__Realist
31,paulkrugman,3,Race__Realist
32,PeterCozy,15,Race__Realist
33,cabbagebrains,2,Race__Realist
34,itsbirdemic,48,Race__Realist
35,JordanDaIntern,4,Race__Realist
36,EricRoyalLybeck,8,Race__Realist
37,380kmh,5,Race__Realist
38,wizardofcause,4,Race__Realist
39,RealMcCoyJoke,5,Race__Realist
40,NabeelAzeezDXB,5,Race__Realist
41,d_antinora,1,Race__Realist
42,mariojuggernaut,3,Race__Realist
43,yacks_91,16,Race__Realist
44,RoamingMil,4,Race__Realist
45,ruckin_,1,Race__Realist
46,EPoe187,43,Race__Realist
47,travis_statham,7,Race__Realist
48,phl43,1,Race__Realist
49,HigHrvatski,1,Race__Realist
50,petewood8one,4,Race__Realist
51,WildGoose1776,14,Race__Realist
52,Communism_Kills,36,Race__Realist
53,_attlee,2,Race__Realist
54,elNingyou,5,Race__Realist
55,coherentstates,27,Race__Realist
