,Poster,Likes_count,Liker
0,OvidiuPismac,5,RavivTamir
1,reachseemak,9,RavivTamir
2,MattiasBorg82,23,RavivTamir
3,TimbMsft,33,RavivTamir
4,msftsecurity,18,RavivTamir
5,Rob_Lefferts,6,RavivTamir
6,41thexplorer,44,RavivTamir
7,abramoru,10,RavivTamir
8,carson__hudson,13,RavivTamir
9,ianmcshane,20,RavivTamir
10,anton_chuvakin,29,RavivTamir
11,WindowsATP,34,RavivTamir
12,AaronMargosis,18,RavivTamir
13,likethecoins,20,RavivTamir
14,stephenfry,26,RavivTamir
15,infosecwar,71,RavivTamir
16,MarkSimos,11,RavivTamir
17,appcompatguy,6,RavivTamir
18,JohnLaTwC,15,RavivTamir
19,gman4626,24,RavivTamir
20,WDSecurity,28,RavivTamir
21,realJackHuffman,5,RavivTamir
22,rw_access,19,RavivTamir
23,SwiftOnSecurity,28,RavivTamir
24,KarelPelck,8,RavivTamir
25,depletionmode,60,RavivTamir
26,MalwareJake,26,RavivTamir
27,_r00k_,9,RavivTamir
28,MalwareTechBlog,38,RavivTamir
