,Poster,Likes_count,Liker
0,LIC_Jose93,19,RealAbreuMilton
1,ASInvestmentsUK,12,RealAbreuMilton
2,AAEARU_Ang,4,RealAbreuMilton
3,JoeFromBRipple,18,RealAbreuMilton
4,Kojima_Hideo,17,RealAbreuMilton
5,BSobeira,20,RealAbreuMilton
6,NaoTaBom1,11,RealAbreuMilton
7,masvelhoaguado,22,RealAbreuMilton
8,tonydomingos34,20,RealAbreuMilton
9,johnkrausphotos,24,RealAbreuMilton
10,Reuters,16,RealAbreuMilton
11,Guerrilla,20,RealAbreuMilton
12,Space_Station,47,RealAbreuMilton
13,LuatyBeirao,27,RealAbreuMilton
14,MKBHD,20,RealAbreuMilton
15,realDonaldTrump,22,RealAbreuMilton
16,elonmusk,28,RealAbreuMilton
17,SpaceX,18,RealAbreuMilton
