,Poster,Likes_count,Liker
0,MKBHD,53,RhaviMarques
1,exploreplanets,25,RhaviMarques
2,ChairmanMeooow,14,RhaviMarques
3,neiltyson,13,RhaviMarques
4,DanFessler,19,RhaviMarques
5,NASA,50,RhaviMarques
6,Erdayastronaut,21,RhaviMarques
7,elonmusk,14,RhaviMarques
8,ExtraCreditz,21,RhaviMarques
9,US4guncontrol,14,RhaviMarques
10,lyft,25,RhaviMarques
11,barto935,17,RhaviMarques
12,NathaliaCavato1,22,RhaviMarques
13,ReedBrody,39,RhaviMarques
14,nicolelzhu,17,RhaviMarques
15,SpaceX,25,RhaviMarques
16,erikinthebakery,12,RhaviMarques
