,Poster,Likes_count,Liker
0,lmkt1,36,RobSpicerYYC
1,JamesTCanadian,29,RobSpicerYYC
2,boozychef,103,RobSpicerYYC
3,JaeDee_CDN,5,RobSpicerYYC
4,EllisFun,4,RobSpicerYYC
5,myinelegantlove,13,RobSpicerYYC
6,QuirkyGirl69,26,RobSpicerYYC
7,ja2cook,2,RobSpicerYYC
8,fimango,3,RobSpicerYYC
9,GoWestGal,70,RobSpicerYYC
10,Frozendiva29,3,RobSpicerYYC
11,NapsAndSarcasm,4,RobSpicerYYC
12,_LaineyBoggs_,1,RobSpicerYYC
13,bigern10,1,RobSpicerYYC
14,CClwyd,9,RobSpicerYYC
15,marctbblue,5,RobSpicerYYC
16,tramowl,3,RobSpicerYYC
17,DrJacobsRad,1,RobSpicerYYC
18,CBCCalgary,5,RobSpicerYYC
19,MsLizCee,63,RobSpicerYYC
20,brittlestar,4,RobSpicerYYC
21,Starrbee_,11,RobSpicerYYC
22,poor_choices,8,RobSpicerYYC
23,Kelans27,5,RobSpicerYYC
24,adencrossing,5,RobSpicerYYC
25,DustinMorris13,17,RobSpicerYYC
26,Dylan_YYC,10,RobSpicerYYC
27,elmaiax,1,RobSpicerYYC
28,RPaluoja,5,RobSpicerYYC
29,RobBreakenridge,13,RobSpicerYYC
30,kwilli1046,2,RobSpicerYYC
31,Karone81,19,RobSpicerYYC
32,jkenney,9,RobSpicerYYC
33,BardOliver,4,RobSpicerYYC
34,TaylorKYYC,3,RobSpicerYYC
35,SEC6704,23,RobSpicerYYC
36,sassimommi,49,RobSpicerYYC
37,jfgroves,5,RobSpicerYYC
38,howetolove,4,RobSpicerYYC
39,RickTarala,9,RobSpicerYYC
