,Poster,Likes_count,Liker
0,Pac12Network,3,RogerPielkeJr
1,lempika7,5,RogerPielkeJr
2,ABTagenda,5,RogerPielkeJr
3,JesseJenkins,5,RogerPielkeJr
4,Revkin,1,RogerPielkeJr
5,kenbensinger,2,RogerPielkeJr
6,JimPethokoukis,2,RogerPielkeJr
7,media_climate,1,RogerPielkeJr
8,JenniferReich1,16,RogerPielkeJr
9,FYIscipolicy,3,RogerPielkeJr
10,RogerAPielkeSr,4,RogerPielkeJr
11,andrw100,4,RogerPielkeJr
12,DrJaneFlegal,4,RogerPielkeJr
13,PauTomczyk,3,RogerPielkeJr
14,ben_rumsby,5,RogerPielkeJr
15,lucialiljegren,1,RogerPielkeJr
16,PaulRoundy1,2,RogerPielkeJr
17,golazoargentino,1,RogerPielkeJr
