,Poster,Likes_count,Liker
0,PhilippeReines,5,RonaldKlain
1,AJentleson,1,RonaldKlain
2,tribelaw,3,RonaldKlain
3,durgadivine,2,RonaldKlain
4,MeatballMom2,1,RonaldKlain
5,LindsayJS,4,RonaldKlain
6,aclall,3,RonaldKlain
7,lindymomma,4,RonaldKlain
8,SoundPolicy,5,RonaldKlain
9,Corrbhaile,1,RonaldKlain
10,olga_02138,2,RonaldKlain
11,princessmom122,4,RonaldKlain
12,rolandsmartin,11,RonaldKlain
13,imillhiser,4,RonaldKlain
14,merbalenske,1,RonaldKlain
15,maddow,4,RonaldKlain
16,marceelias,5,RonaldKlain
17,revolution,4,RonaldKlain
18,mahmdh242526,2,RonaldKlain
19,christinafreund,3,RonaldKlain
20,NormOrnstein,2,RonaldKlain
21,trumpaide,4,RonaldKlain
22,gutechpolicy,1,RonaldKlain
23,neal_katyal,3,RonaldKlain
24,colleenkingd,5,RonaldKlain
25,Thunderballs2,4,RonaldKlain
26,almostastute,2,RonaldKlain
27,koppk_OHPGXC,31,RonaldKlain
28,jaketapper,5,RonaldKlain
29,juliettekayyem,2,RonaldKlain
30,EveHammond13,6,RonaldKlain
31,maxgabo,1,RonaldKlain
32,janiemolloy,3,RonaldKlain
33,CharlesPPierce,2,RonaldKlain
34,HelenBranswell,28,RonaldKlain
35,NateSilver538,4,RonaldKlain
36,leenie909,5,RonaldKlain
37,gwndlynsmtg,4,RonaldKlain
38,adamwren,3,RonaldKlain
39,benberwick,5,RonaldKlain
40,PreetBharara,5,RonaldKlain
41,SusanneAlthoff,2,RonaldKlain
42,rickhasen,28,RonaldKlain
43,olgakhazan,3,RonaldKlain
44,ezraklein,3,RonaldKlain
45,sbg1,1,RonaldKlain
46,ann_lemieux,2,RonaldKlain
47,RonaldKlain,36,RonaldKlain
48,HeidiNBC,3,RonaldKlain
49,TheSecondArch,5,RonaldKlain
50,laurenduca,4,RonaldKlain
51,uskiwiblend,1,RonaldKlain
52,ron_gilbert,3,RonaldKlain
53,Alyssa_Milano,5,RonaldKlain
54,62ElizFM,3,RonaldKlain
55,antitrumpresist,11,RonaldKlain
56,kategreene1116,4,RonaldKlain
57,shirleyjgarden,4,RonaldKlain
58,stuartpstevens,2,RonaldKlain
59,DonKeehotey,4,RonaldKlain
60,mayura08,5,RonaldKlain
61,MilliganSusan,1,RonaldKlain
62,B52Malmet,14,RonaldKlain
63,MaddowBlog,4,RonaldKlain
