,Poster,Likes_count,Liker
0,rpbp,31,SarahKSilverman
1,mulaney,8,SarahKSilverman
2,IamGMJohnson,21,SarahKSilverman
3,pattonoswalt,12,SarahKSilverman
4,kumailn,3,SarahKSilverman
5,KarenKilgariff,15,SarahKSilverman
6,swankyopey,17,SarahKSilverman
7,deray,5,SarahKSilverman
8,kevinseccia,3,SarahKSilverman
9,guybranum,21,SarahKSilverman
10,BriannaWu,2,SarahKSilverman
11,SamRussellComic,1,SarahKSilverman
12,blainecapatch,18,SarahKSilverman
13,sebag_marc,3,SarahKSilverman
14,lovemycelica,32,SarahKSilverman
15,Sethrogen,3,SarahKSilverman
16,amymiller,18,SarahKSilverman
17,DionaReasonover,17,SarahKSilverman
18,chantalkreviaz,37,SarahKSilverman
19,THATJacqueline,12,SarahKSilverman
20,washingtonpost,5,SarahKSilverman
21,adamcbest,1,SarahKSilverman
22,andylassner,5,SarahKSilverman
23,ikebarinholtz,15,SarahKSilverman
24,chelseaperetti,19,SarahKSilverman
25,billyeichner,27,SarahKSilverman
26,AquaCrystal01,10,SarahKSilverman
27,RachelMcKibbens,16,SarahKSilverman
28,parteverything,12,SarahKSilverman
29,jeneuston,13,SarahKSilverman
30,KimSwink,6,SarahKSilverman
31,HJBenjamin,18,SarahKSilverman
32,RepJoeKennedy,15,SarahKSilverman
33,MichaelOrdona,3,SarahKSilverman
34,gavinpurcell,15,SarahKSilverman
35,alafairburke,11,SarahKSilverman
36,Alyssa_Milano,4,SarahKSilverman
37,mikeryan,43,SarahKSilverman
38,chrissyteigen,3,SarahKSilverman
39,OhHiRalphJones,3,SarahKSilverman
40,questions846,10,SarahKSilverman
41,LauraJSilverman,2,SarahKSilverman
42,THR,30,SarahKSilverman
43,YouHadOneJ0B,11,SarahKSilverman
44,AmyAstley,5,SarahKSilverman
45,kirbiejohnson,3,SarahKSilverman
46,OsheaJacksonJr,3,SarahKSilverman
47,JeffBabko,15,SarahKSilverman
48,StellaStarsky,18,SarahKSilverman
49,hwinkler4real,5,SarahKSilverman
50,vermontgmg,31,SarahKSilverman
51,nbcsnl,41,SarahKSilverman
52,AwardsDaily,15,SarahKSilverman
53,aparnapkin,49,SarahKSilverman
54,MJMcKean,30,SarahKSilverman
55,JeanJon01136654,2,SarahKSilverman
56,JohnJHarwood,15,SarahKSilverman
57,OhThatRajul,1,SarahKSilverman
58,johniadarola,27,SarahKSilverman
59,ShawnGarrett,31,SarahKSilverman
60,ScottHech,2,SarahKSilverman
61,dodo,3,SarahKSilverman
62,crooksandliars,14,SarahKSilverman
63,broadcity,3,SarahKSilverman
64,JordanPeele,4,SarahKSilverman
65,sandibachom,1,SarahKSilverman
66,natefernald,26,SarahKSilverman
67,haaretzcom,2,SarahKSilverman
68,RepSwalwell,29,SarahKSilverman
