,Poster,Likes_count,Liker
0,SenKamalaHarris,28,SenKamalaHarris
1,VetVoiceFound,12,SenKamalaHarris
2,tpl_org,12,SenKamalaHarris
3,bmcushing,11,SenKamalaHarris
4,HRC,9,SenKamalaHarris
5,RepJayapal,7,SenKamalaHarris
6,UCSFBixby,9,SenKamalaHarris
7,BabyShopa,15,SenKamalaHarris
8,CREDOMobile,26,SenKamalaHarris
9,NydiaVelazquez,7,SenKamalaHarris
10,genderhealth,16,SenKamalaHarris
11,anncowlin,11,SenKamalaHarris
12,AAN_Nursing,9,SenKamalaHarris
13,1000Days,4,SenKamalaHarris
14,blkwomenshealth,9,SenKamalaHarris
15,cmichelcarter,8,SenKamalaHarris
16,MamasConPoder,8,SenKamalaHarris
