,Poster,Likes_count,Liker
0,Comey,5,Senor_Sam
1,LilNasX,5,Senor_Sam
2,monavidaurri,7,Senor_Sam
3,juannisaac,9,Senor_Sam
4,CadeBuffalow,12,Senor_Sam
5,BitchAssBowie,19,Senor_Sam
6,JoeyDG54,26,Senor_Sam
7,NeoYokio,14,Senor_Sam
8,pokmon_facts,27,Senor_Sam
9,AkiraTorrijos,16,Senor_Sam
10,uhhitsaya,6,Senor_Sam
11,javeigh,18,Senor_Sam
12,hondvran,12,Senor_Sam
13,emtreas,32,Senor_Sam
14,paulludwig,14,Senor_Sam
15,rudy_mustang,17,Senor_Sam
16,bieberhole666,4,Senor_Sam
17,fr0mthev0id,2,Senor_Sam
18,chaserdick,5,Senor_Sam
19,DUHHRRELL,12,Senor_Sam
20,MKBHD,28,Senor_Sam
