,Poster,Likes_count,Liker
0,igorpianist,4,SibylleBerg
1,Herrndorf,4,SibylleBerg
2,ClausReisch,6,SibylleBerg
3,ShowkuenstlerDe,17,SibylleBerg
4,Nordbergh,2,SibylleBerg
5,teatrolafenice,20,SibylleBerg
6,Cha_Knobloch,33,SibylleBerg
7,RealRomanWagner,12,SibylleBerg
8,TheSoulfulEMU,5,SibylleBerg
9,Streitlust,8,SibylleBerg
10,jsprondel,21,SibylleBerg
11,eta_systems,17,SibylleBerg
12,realsci_DE,13,SibylleBerg
13,dyfustic,13,SibylleBerg
14,ysrthgrathe,18,SibylleBerg
15,Oneironaut7,6,SibylleBerg
16,manke29,8,SibylleBerg
17,patrickyfrey,16,SibylleBerg
18,StephanRoiss,4,SibylleBerg
19,aurelmertz,26,SibylleBerg
20,Wooloo_Mooloo,3,SibylleBerg
21,oddfish92,3,SibylleBerg
22,supatyp,14,SibylleBerg
23,Voegizug,16,SibylleBerg
24,glsbank,6,SibylleBerg
25,Julian_Wampfler,21,SibylleBerg
26,SHeublein,5,SibylleBerg
27,f_stiebeling,18,SibylleBerg
28,telabiggi,17,SibylleBerg
29,C_M_Kaiser,14,SibylleBerg
30,annettedittert,10,SibylleBerg
31,bemmefatale1,8,SibylleBerg
32,moninielsen,15,SibylleBerg
33,jazzz_min,3,SibylleBerg
34,dominikhammes,22,SibylleBerg
35,HartmutSchrewe,19,SibylleBerg
36,Panik1Props,44,SibylleBerg
37,mischwob,4,SibylleBerg
38,HerrSupersonic,15,SibylleBerg
39,CoffeeProsecuto,5,SibylleBerg
40,deville_late,15,SibylleBerg
41,travlR,4,SibylleBerg
42,derrechterand,16,SibylleBerg
43,chSchlesinger,8,SibylleBerg
44,posth,2,SibylleBerg
45,EuRo4242,15,SibylleBerg
