,Poster,Likes_count,Liker
0,DistractedChem,12,SierraMidTN
1,BrettKelman,10,SierraMidTN
2,joeygarrison,8,SierraMidTN
3,NancyPelosi,6,SierraMidTN
4,SenWarren,17,SierraMidTN
5,JTRC2018,14,SierraMidTN
6,MattxRed,8,SierraMidTN
7,SierraClub,6,SierraMidTN
8,patagonia,18,SierraMidTN
9,davidfrum,13,SierraMidTN
10,washingtonpost,15,SierraMidTN
11,Earthjustice,12,SierraMidTN
12,KatyTurNBC,10,SierraMidTN
13,RepJoeKennedy,10,SierraMidTN
14,wendi_c_thomas,13,SierraMidTN
15,Leahgreenb,4,SierraMidTN
16,YoungDemsPutnam,12,SierraMidTN
17,DataProgress,12,SierraMidTN
18,JamesShawJr9,8,SierraMidTN
19,slpng_giants,7,SierraMidTN
