,Poster,Likes_count,Liker
0,jona_valk,5,Spoonjamin_
1,MarvNova_,16,Spoonjamin_
2,SecretShoot,22,Spoonjamin_
3,Abbey_mg,46,Spoonjamin_
4,Mike_TheCop,1,Spoonjamin_
5,JoeOrHighs,11,Spoonjamin_
6,Gyronium,15,Spoonjamin_
7,ioNZoam,2,Spoonjamin_
8,FaZeLinkzy,22,Spoonjamin_
9,MyolLife,4,Spoonjamin_
10,LeonBackwardsTV,8,Spoonjamin_
11,scmurph15,4,Spoonjamin_
12,UMichFootball,35,Spoonjamin_
13,Vezph,4,Spoonjamin_
14,elonmusk,17,Spoonjamin_
15,Boogie2988,27,Spoonjamin_
16,SplatsTV,86,Spoonjamin_
17,emilyjohnso_,8,Spoonjamin_
18,TheFreeSniper,5,Spoonjamin_
19,akaZays,22,Spoonjamin_
20,lxnxygrxcx,25,Spoonjamin_
21,BStockwell84,6,Spoonjamin_
22,vdays,13,Spoonjamin_
