,Poster,Likes_count,Liker
0,GrittyNHL,2,Starrbee_
1,communik8e,2,Starrbee_
2,GlobalCalgary,2,Starrbee_
3,oberhoffner,2,Starrbee_
4,DonoYEG,3,Starrbee_
5,EllisFun,10,Starrbee_
6,CalgaryPolice,2,Starrbee_
7,foofighters,3,Starrbee_
8,alicyaperreault,5,Starrbee_
9,Netflix_CA,13,Starrbee_
10,nowthatstyping,1,Starrbee_
11,newskepticx,1,Starrbee_
12,CBCNews,1,Starrbee_
13,DaveBeninger,2,Starrbee_
14,thenickynash,1,Starrbee_
15,ericbowling260,5,Starrbee_
16,KikkiPlanet,5,Starrbee_
17,meaganpari,1,Starrbee_
18,Cha_Linds,5,Starrbee_
19,pressprogress,2,Starrbee_
20,CstCJMartin,2,Starrbee_
21,CTV,4,Starrbee_
22,chrystalized94,1,Starrbee_
23,GrahamMosimann,1,Starrbee_
24,goodoldcatchy,2,Starrbee_
25,HandmaidAlberta,1,Starrbee_
26,_LaineyBoggs_,5,Starrbee_
27,donnamct,13,Starrbee_
28,GoWestGal,12,Starrbee_
29,w_izzard,3,Starrbee_
30,MsLizCee,1,Starrbee_
31,lizzieohreally,5,Starrbee_
32,_SJPeace_,3,Starrbee_
33,blushing_bettie,19,Starrbee_
34,ThatKevinSmith,5,Starrbee_
35,DownWithPopo,4,Starrbee_
36,DailyHiveYYC,5,Starrbee_
37,sarah_YYC,35,Starrbee_
38,gwendolynmr,20,Starrbee_
39,DanRather,5,Starrbee_
40,mindykaling,1,Starrbee_
41,thimblewad,2,Starrbee_
42,PlanetFoods,1,Starrbee_
43,kevole,1,Starrbee_
44,ArleneDickinson,2,Starrbee_
45,jvn,4,Starrbee_
46,JLT1015,2,Starrbee_
47,pitbull1914,2,Starrbee_
