,Poster,Likes_count,Liker
0,sam_vinograd,5,SteveSchmidtSES
1,TheRickWilson,3,SteveSchmidtSES
2,BetteMidler,2,SteveSchmidtSES
3,cueninja,5,SteveSchmidtSES
4,RBReich,2,SteveSchmidtSES
5,Tatum_Oneal,4,SteveSchmidtSES
6,McFaul,4,SteveSchmidtSES
7,Chris_Meloni,2,SteveSchmidtSES
8,SamanthaDunn,4,SteveSchmidtSES
9,CapehartJ,2,SteveSchmidtSES
10,ChazBono,2,SteveSchmidtSES
11,jessiwhiteside,7,SteveSchmidtSES
12,Saintphoebe,5,SteveSchmidtSES
13,ryangrim,3,SteveSchmidtSES
14,molly_knight,4,SteveSchmidtSES
15,jwgop,5,SteveSchmidtSES
16,socflyny,4,SteveSchmidtSES
17,posglen,3,SteveSchmidtSES
18,VickAnnM,4,SteveSchmidtSES
