,Poster,Likes_count,Liker
0,nicovald,23,StevenSuptic
1,bellzbreathes,28,StevenSuptic
2,ABC,20,StevenSuptic
3,MrTooBoring,63,StevenSuptic
4,MrVanillaFlan,17,StevenSuptic
5,jennkcaruso,23,StevenSuptic
6,Janky_Star,31,StevenSuptic
7,heyitscaiti,29,StevenSuptic
8,DogMomUSA,20,StevenSuptic
9,Tyler_Specht1,18,StevenSuptic
10,_rufhaus,53,StevenSuptic
11,starwolftheband,35,StevenSuptic
12,chasejonesss,27,StevenSuptic
13,SmoshIan,18,StevenSuptic
14,meghantonjes,42,StevenSuptic
15,JAllenMc,26,StevenSuptic
