,Poster,Likes_count,Liker
0,jennymcelderry,13,TaslerPhoto
1,KCMO,23,TaslerPhoto
2,barelmann,18,TaslerPhoto
3,bucci_official,13,TaslerPhoto
4,greghall24,33,TaslerPhoto
5,jbh2729,16,TaslerPhoto
6,timewodo,19,TaslerPhoto
7,GregLahann,15,TaslerPhoto
8,BrianBShynin,7,TaslerPhoto
9,markvanbaale,12,TaslerPhoto
10,LloydLegalist,10,TaslerPhoto
11,DaveDiCello,14,TaslerPhoto
12,OverlandParkCC,13,TaslerPhoto
13,AndreaKC2016,16,TaslerPhoto
14,Popehat,14,TaslerPhoto
15,alyssaprentice,15,TaslerPhoto
16,rosethereeltr,4,TaslerPhoto
17,Libertystratcat,1,TaslerPhoto
18,pwwriter,5,TaslerPhoto
19,Pascal_1969,4,TaslerPhoto
