,Poster,Likes_count,Liker
0,ZonePhysics,30,TeslaNY
1,pprstrtspcmpy,1,TeslaNY
2,VickiSalvador,1,TeslaNY
3,thesheetztweetz,35,TeslaNY
4,ScentWedge,62,TeslaNY
5,Model3Owners,5,TeslaNY
6,business,66,TeslaNY
7,SpaceX,88,TeslaNY
8,gwestr,54,TeslaNY
9,TeslasocialC,40,TeslaNY
10,sabrina_rose8,3,TeslaNY
11,ev_nero,35,TeslaNY
12,tictoc,82,TeslaNY
13,teslaownersSV,88,TeslaNY
14,13ericralph31,4,TeslaNY
15,m_xalher,25,TeslaNY
16,elonmusk,118,TeslaNY
17,Tesla,4,TeslaNY
18,MyTeslaAdventur,40,TeslaNY
19,teslainventory,4,TeslaNY
20,GalaktixTV,7,TeslaNY
21,b_felix,1,TeslaNY
22,Teslarati,43,TeslaNY
23,_TomCross_,3,TeslaNY
