,Poster,Likes_count,Liker
0,RealTalkUPROXX,22,TheDailyShow
1,MTVCribs,29,TheDailyShow
2,MattNegrin,5,TheDailyShow
3,TheMAURYShow,4,TheDailyShow
4,thedailybeast,52,TheDailyShow
5,StevenDialTV,38,TheDailyShow
6,OnSMASH,24,TheDailyShow
7,PaulRieckhoff,22,TheDailyShow
8,TonyAtamanuik,3,TheDailyShow
9,NARAL,22,TheDailyShow
10,ITSJEREMYSCOTT,16,TheDailyShow
11,DanAmira,3,TheDailyShow
12,jayrosen_nyu,14,TheDailyShow
13,fatima_rene14,18,TheDailyShow
14,sonyahilltv,1,TheDailyShow
15,consequence,9,TheDailyShow
16,michaelkosta,2,TheDailyShow
17,The_Corres,1,TheDailyShow
18,iava,9,TheDailyShow
19,Trevornoah,54,TheDailyShow
20,THR,36,TheDailyShow
21,mattwilstein,24,TheDailyShow
22,dulcesloan,31,TheDailyShow
23,EricaOnABC13,21,TheDailyShow
24,ClioAwards,24,TheDailyShow
