,Poster,Likes_count,Liker
0,Teslarati,47,VictoriaEVClub
1,TeslaArmy,43,VictoriaEVClub
2,ElectrekCo,106,VictoriaEVClub
3,EcoHeliGuy,24,VictoriaEVClub
4,jeffborden_cga,54,VictoriaEVClub
5,arctechinc,186,VictoriaEVClub
6,WREVAGroup,27,VictoriaEVClub
7,TheTeslaLife,104,VictoriaEVClub
8,lexfridman,43,VictoriaEVClub
9,ForthMobility,22,VictoriaEVClub
10,boringcompany,47,VictoriaEVClub
11,VicAutoBroker,45,VictoriaEVClub
12,Jaredewy,54,VictoriaEVClub
13,Tesla,40,VictoriaEVClub
14,Rohitinottawa,46,VictoriaEVClub
