,Poster,Likes_count,Liker
0,davidwford,1,Yorkie71
1,MarkHoldstock,10,Yorkie71
2,TeslaInTheUK,3,Yorkie71
3,bnkwupt,3,Yorkie71
4,TheSmileySE,28,Yorkie71
5,TheEVside,5,Yorkie71
6,SussexEVs,1,Yorkie71
7,RyanAtS2,3,Yorkie71
8,EVMaps,3,Yorkie71
9,reillyusa,14,Yorkie71
10,IoniqEVDriver,14,Yorkie71
11,lyndonjonmartin,54,Yorkie71
12,JamesBulpin,4,Yorkie71
13,citrix,5,Yorkie71
14,BIG_Nick_1,3,Yorkie71
15,samiryajnik,2,Yorkie71
16,swdownes,22,Yorkie71
17,WillFealey,29,Yorkie71
18,JoeBaguley,7,Yorkie71
19,lakes_eco_van,16,Yorkie71
20,evopinion,4,Yorkie71
21,lotsofbumper,5,Yorkie71
22,bulbenergy,2,Yorkie71
23,startabuzz,5,Yorkie71
24,stealthpuppy,15,Yorkie71
25,CitrixReady,4,Yorkie71
26,joeshonk,9,Yorkie71
27,tkreidl,37,Yorkie71
28,DaleVince,10,Yorkie71
29,NorthernPontoon,2,Yorkie71
30,ElecHighway,8,Yorkie71
31,JJVLebon,20,Yorkie71
32,IzzyWizzyIoniq,70,Yorkie71
33,raimonick,12,Yorkie71
