,Poster,Likes_count,Liker
0,NYXL,63,Zedd
1,savageyeeterson,35,Zedd
2,YourEDM,5,Zedd
3,Muma,24,Zedd
4,marincuric,3,Zedd
5,its_akoo,47,Zedd
6,vinsttt,26,Zedd
7,TomWright96,17,Zedd
8,emonggtv,71,Zedd
9,LIVmiami,48,Zedd
10,Target,2,Zedd
11,LaidbackLuke,33,Zedd
12,Guadarramasays,4,Zedd
13,tf2pine,91,Zedd
14,jvndOW,17,Zedd
15,billboard,4,Zedd
16,k_sneaks21,24,Zedd
17,iTzLuciio,18,Zedd
18,MekOppa,12,Zedd
19,billboarddance,4,Zedd
20,i_oofficial,27,Zedd
21,Jauzofficial,48,Zedd
22,hear_the_world,34,Zedd
23,EBUNC1,6,Zedd
24,cade_blanchard,32,Zedd
25,jeremykramer,24,Zedd
26,elonmusk,19,Zedd
27,redgirl0222,16,Zedd
28,Mano_OWL,28,Zedd
29,MohitPuvvala,2,Zedd
30,Camila_Cabello,33,Zedd
31,Virtual_Riot,8,Zedd
32,Arkadi,17,Zedd
33,reexew,16,Zedd
34,nagiokun29,16,Zedd
35,Brookeevers,9,Zedd
36,KUUROmusic,26,Zedd
