,Poster,Likes_count,Liker
0,juliampecharki,3,Zendaya
1,ruckin_,3,Zendaya
2,DarnellAppling,1,Zendaya
3,kyloholland,3,Zendaya
4,MJFinesseLover,3,Zendaya
5,FilmEasterEggs,1,Zendaya
6,RemyHii,5,Zendaya
7,micheIlejcnes,3,Zendaya
8,Jasminew628,4,Zendaya
9,blu3raspb3rri,4,Zendaya
10,itz_paige_2004,1,Zendaya
11,anterriter,5,Zendaya
12,chloexhalle,4,Zendaya
13,spideydayaa,3,Zendaya
14,dayasrue,3,Zendaya
15,YaraShahidi,5,Zendaya
16,jacobsoboroff,4,Zendaya
17,niborahsa,1,Zendaya
18,classicdaya_,5,Zendaya
19,newscat44,5,Zendaya
