,Poster,Likes_count,Liker
0,QuebecTango,4,_SmartUK
1,SusanCalman,5,_SmartUK
2,ChristianFraser,5,_SmartUK
3,ThePoke,5,_SmartUK
4,JimmyKimmelLive,5,_SmartUK
5,GlennyRodge,3,_SmartUK
6,_youhadonejob1,8,_SmartUK
7,BBCNewsPR,4,_SmartUK
8,bechillcomedian,2,_SmartUK
9,shitlondon,2,_SmartUK
10,JakeLingwood,4,_SmartUK
11,AlvinAl3978,1,_SmartUK
12,alibruceball,3,_SmartUK
13,RobinFlavell,2,_SmartUK
14,BBCJonSopel,35,_SmartUK
15,Libericks,5,_SmartUK
16,almurray,1,_SmartUK
17,carolecadwalla,3,_SmartUK
18,craigblundell,4,_SmartUK
19,simonblackwell,1,_SmartUK
20,richardosman,1,_SmartUK
21,BBCSESport,3,_SmartUK
22,jothekendall,13,_SmartUK
23,SamWhyte,4,_SmartUK
24,TheDrewLynch,2,_SmartUK
25,edmorrish,4,_SmartUK
26,GeoffShadbold,15,_SmartUK
27,JulianDutton1,3,_SmartUK
28,bingowings14,23,_SmartUK
29,jami0mckay,5,_SmartUK
30,Julia_MUC,31,_SmartUK
31,Arumi_kai,2,_SmartUK
32,ZaltzCricket,5,_SmartUK
33,RogerQuimbly,1,_SmartUK
34,mrchrisaddison,12,_SmartUK
35,jamiesont,1,_SmartUK
36,MooseAllain,27,_SmartUK
37,mrmarksteel,1,_SmartUK
38,sandydomenique,3,_SmartUK
39,MrNishKumar,1,_SmartUK
40,_Enanem_,3,_SmartUK
41,back_the_BBC,6,_SmartUK
42,TheJerryEwing,3,_SmartUK
43,WorstFoot,19,_SmartUK
44,Dorset_Owl,17,_SmartUK
45,BonaTweetette,1,_SmartUK
46,BBCRadio4,4,_SmartUK
47,StevenWilsonHQ,2,_SmartUK
48,gusitwo,1,_SmartUK
49,clarebalding,5,_SmartUK
50,joeheenan,10,_SmartUK
51,ShappiKhorsandi,1,_SmartUK
52,AngelaBarnes,16,_SmartUK
53,StephenMangan,2,_SmartUK
54,craiguito,13,_SmartUK
55,twitmericks,2,_SmartUK
56,thedailymash,5,_SmartUK
57,ytandt,3,_SmartUK
58,Here_Be_Frost,2,_SmartUK
59,Hadtwohurt,4,_SmartUK
60,JohnSimpsonNews,15,_SmartUK
61,bigedwards,2,_SmartUK
62,GeoffLloyd,4,_SmartUK
63,Aiannucci,42,_SmartUK
64,quantick,29,_SmartUK
65,marcusbrig,2,_SmartUK
66,qikipedia,12,_SmartUK
67,InsideComedian,11,_SmartUK
68,ddale8,3,_SmartUK
69,WeeMissBea,10,_SmartUK
70,PhilAtCreamCow,4,_SmartUK
71,bbctms,5,_SmartUK
72,SummerRay,5,_SmartUK
73,DaSkrambledEgg,12,_SmartUK
74,eMBeaRGaming,1,_SmartUK
75,MattSingh_,14,_SmartUK
76,HorribleSanity,5,_SmartUK
77,DavidMuttering,3,_SmartUK
78,MJowen174,4,_SmartUK
79,radiostevebest,4,_SmartUK
