,Poster,Likes_count,Liker
0,AndyDavies,13,addyosmani
1,ChromiumDev,5,addyosmani
2,AdamRackis,32,addyosmani
3,paularmstrong,26,addyosmani
4,patmeenan,3,addyosmani
5,necolas,3,addyosmani
6,Souders,24,addyosmani
7,WomenTechmakers,18,addyosmani
8,wSokra,4,addyosmani
9,dakami,20,addyosmani
10,_ElleOhElle_,5,addyosmani
11,bigethan,13,addyosmani
12,argyleink,11,addyosmani
13,kosamari,5,addyosmani
14,PascalMassimino,2,addyosmani
15,bendhalpern,2,addyosmani
16,housecor,14,addyosmani
17,_pi0_,20,addyosmani
18,burgessdryan,57,addyosmani
19,jkup,13,addyosmani
20,stubbornella,22,addyosmani
21,denar90_,26,addyosmani
22,katiehempenius,28,addyosmani
