,Poster,Likes_count,Liker
0,matsoR,1,adityasood
1,TheAtlantic,2,adityasood
2,KenTremendous,3,adityasood
3,emptywheel,25,adityasood
4,HIGHzurrer,12,adityasood
5,ScottMStedman,10,adityasood
6,WaltHickey,1,adityasood
7,kylegriffin1,3,adityasood
8,girlsreallyrule,3,adityasood
9,Ihnatko,1,adityasood
10,kimmasters,11,adityasood
11,RogueNASA,9,adityasood
12,NatashaBertrand,1,adityasood
13,KagroX,21,adityasood
14,Ocasio2018,10,adityasood
15,DKElections,4,adityasood
16,SeanMcElwee,2,adityasood
17,barstooltweetss,3,adityasood
18,ditzkoff,11,adityasood
19,jonathanchait,4,adityasood
20,briankoppelman,5,adityasood
21,ryanobles,5,adityasood
22,IlhanMN,1,adityasood
23,CalumMcSwiggan,1,adityasood
24,NotMrTibbs,5,adityasood
25,BrianDuffield,34,adityasood
26,davidhogg111,5,adityasood
27,Taniel,3,adityasood
28,ClydeHaberman,4,adityasood
29,TheEconomist,1,adityasood
30,costareports,12,adityasood
31,StephenAtHome,18,adityasood
32,nycsouthpaw,19,adityasood
33,HeerJeet,2,adityasood
34,jbouie,4,adityasood
35,DanaSchwartzzz,5,adityasood
36,Rschooley,7,adityasood
37,WendyMolyneux,4,adityasood
38,jamespmanley,5,adityasood
39,EJBrand,3,adityasood
40,RMac18,3,adityasood
41,SenSchumer,3,adityasood
42,AdamSerwer,4,adityasood
43,steveschale,5,adityasood
44,EricBoehlert,2,adityasood
45,adambvary,3,adityasood
46,joshtpm,3,adityasood
47,ashleyfeinberg,13,adityasood
48,JonathanTaplin,3,adityasood
49,bjoewolf,3,adityasood
50,yashar,3,adityasood
51,MKeeno84,5,adityasood
52,RichBTIG,1,adityasood
53,SteveKerr,3,adityasood
54,30AcreFortress,4,adityasood
55,KevinTMorales,7,adityasood
56,StrongNerd81,1,adityasood
57,maxwelltani,2,adityasood
58,MrCamW,5,adityasood
59,ShaunWDSU,4,adityasood
60,dabeard,2,adityasood
61,PiyaSRoy,12,adityasood
62,BigWalt71,4,adityasood
63,emilyvgordon,3,adityasood
64,Snoopy,2,adityasood
65,jason_pontin,1,adityasood
66,chrislhayes,4,adityasood
67,KevinMKruse,3,adityasood
68,AlexMLeo,2,adityasood
69,NateSilver538,45,adityasood
70,jimholman19,4,adityasood
71,stevesilberman,1,adityasood
72,HamillHimself,1,adityasood
73,jk_rowling,12,adityasood
