,Poster,Likes_count,Liker
0,danprimack,14,alexia
1,CaseyNewton,18,alexia
2,kimmaicutler,95,alexia
3,NewYorker,14,alexia
4,MikeIsaac,27,alexia
5,garrytan,1,alexia
6,conniechan,17,alexia
7,ryanlawler,5,alexia
8,juliacarriew,3,alexia
9,ConejoBlanco500,17,alexia
10,karanortman,17,alexia
11,MKM_Abdul,2,alexia
12,impcapital,9,alexia
13,triketora,2,alexia
14,karaswisher,41,alexia
15,msuster,5,alexia
16,EricaJoy,9,alexia
17,ShrugCap,8,alexia
18,merci,68,alexia
19,zackvoell,5,alexia
20,brianstelter,21,alexia
21,chadbyers,5,alexia
22,kirstenagreen,13,alexia
23,emmahcodee,19,alexia
24,aaroka,17,alexia
25,Beezer232,14,alexia
26,Amol_Sharma,1,alexia
27,patio11,14,alexia
28,balajis,13,alexia
29,brian_armstrong,15,alexia
30,businessinsider,15,alexia
31,rrhoover,34,alexia
32,cyantist,22,alexia
33,ArlanWasHere,20,alexia
34,brexHQ,8,alexia
35,RealGtb,12,alexia
36,SlushHQ,16,alexia
37,polina_marinova,7,alexia
38,alitamaseb,18,alexia
