,Poster,Likes_count,Liker
0,lacroixwater,4,alykeves
1,hannahiwrey,15,alykeves
2,LRocketto,18,alykeves
3,MelanieBPrice,142,alykeves
4,MollyStier,26,alykeves
5,_MISSiles,10,alykeves
6,GraceSpelman,39,alykeves
7,griffdunk,18,alykeves
8,CarolineHuntoon,22,alykeves
9,caro,29,alykeves
10,ivadixit,5,alykeves
11,BB19KEVIN,31,alykeves
12,apbenven,34,alykeves
13,jswatz,35,alykeves
14,conz,33,alykeves
15,CahnEmily,1,alykeves
16,Lin_Manuel,34,alykeves
17,monicariese,35,alykeves
18,Mcely,18,alykeves
19,selenalarson,17,alykeves
20,TeaffanyH,6,alykeves
21,psencikk,108,alykeves
22,emmafreud,11,alykeves
