,Poster,Likes_count,Liker
0,JohnLaTwC,1,angealbertini
1,Laelia_Ve,4,angealbertini
2,FlopineYeah,4,angealbertini
3,gblardone,5,angealbertini
4,DirectoryRanger,1,angealbertini
5,JenMsft,3,angealbertini
6,tcb79,5,angealbertini
7,daveaitel,5,angealbertini
8,JonTt,1,angealbertini
9,VGDensetsu,2,angealbertini
10,strangepartscom,5,angealbertini
11,stefan_frei,4,angealbertini
12,frankcifaldi,3,angealbertini
13,DidierStevens,1,angealbertini
14,benkow_,2,angealbertini
15,adericbourg,2,angealbertini
16,mediamagnetgame,2,angealbertini
17,radareorg,5,angealbertini
18,cbrocas,5,angealbertini
19,StanHacked,5,angealbertini
