,Poster,Likes_count,Liker
0,katienelson210,112,astoneabcnews
1,AlexaPop,55,astoneabcnews
2,LAPDChiefMoore,45,astoneabcnews
3,ChrisMahurin26,117,astoneabcnews
4,lasdNicole,54,astoneabcnews
5,AlyssaPone,56,astoneabcnews
6,LACoSheriff32,55,astoneabcnews
7,LAPD_CaptPonce,105,astoneabcnews
8,LAPD_ARCOS,56,astoneabcnews
9,BrianClark_,81,astoneabcnews
10,PDPIOJosh,44,astoneabcnews
11,LASDCarolLin,67,astoneabcnews
12,psandovallapd,33,astoneabcnews
13,bbacchus818,33,astoneabcnews
14,jk_sgt,36,astoneabcnews
15,JohnCregan7,57,astoneabcnews
16,SBCSDblane,74,astoneabcnews
