,Poster,Likes_count,Liker
0,MikeHudema,18,bj23air
1,TheOnion,23,bj23air
2,jeremycorbyn,4,bj23air
3,BernieSanders,59,bj23air
4,60Minutes,20,bj23air
5,scottwww,18,bj23air
6,ka_rons,3,bj23air
7,stevesi,17,bj23air
8,kimpaquette,8,bj23air
9,michaelfuhrWUSA,18,bj23air
10,HyperChangeTV,29,bj23air
11,washingtonpost,65,bj23air
12,garyvee,22,bj23air
13,cleantechnica,48,bj23air
14,slye,14,bj23air
15,AlterViggo,31,bj23air
16,Model3Owners,15,bj23air
17,AmazingChevVolt,20,bj23air
18,jblefevre60,8,bj23air
19,bobbyllew,7,bj23air
20,m_xalher,19,bj23air
21,nowthisnews,24,bj23air
22,wadimgrasza,9,bj23air
23,flightlevel150,4,bj23air
24,BullTesla,13,bj23air
25,ValueAnalyst1,67,bj23air
26,jack,13,bj23air
27,EricSteiman,34,bj23air
28,HDJacobsXC,16,bj23air
29,darrenrovell,19,bj23air
30,DanRather,17,bj23air
31,elonmusk,68,bj23air
32,Tesla,11,bj23air
33,InsideEVs,4,bj23air
