,Poster,Likes_count,Liker
0,LaurenKrugel,2,brewingrealty
1,becausescience,1,brewingrealty
2,pmyackulic,4,brewingrealty
3,watershedbrew,5,brewingrealty
4,heidamazeballs,19,brewingrealty
5,Dylan_YYC,9,brewingrealty
6,AreSiewer,2,brewingrealty
7,aggieloveseggs,5,brewingrealty
8,Glenbow,12,brewingrealty
9,macleans,5,brewingrealty
10,MPatterson22,17,brewingrealty
11,KaliYVR,11,brewingrealty
12,robcaz,11,brewingrealty
13,YEGbeerjudge,2,brewingrealty
14,Genius,18,brewingrealty
15,CalgaryMLC,14,brewingrealty
16,thimblewad,5,brewingrealty
17,AccessibleYYC,15,brewingrealty
18,WaltzingRhino,1,brewingrealty
19,IanMcAnerin,5,brewingrealty
20,gaileyfrey,22,brewingrealty
21,dallos_reid,5,brewingrealty
22,ja2cook,5,brewingrealty
23,AmyChu,4,brewingrealty
24,JamesTCanadian,36,brewingrealty
25,SproutSocial,15,brewingrealty
26,rosalyngambhir,6,brewingrealty
27,doyouevenblog,28,brewingrealty
28,letkma,1,brewingrealty
29,landpsychology,2,brewingrealty
30,dinnerwithjulie,10,brewingrealty
31,DavidButt1,60,brewingrealty
32,WarnkeKim,5,brewingrealty
33,SteveToms_,11,brewingrealty
34,cboivin01,65,brewingrealty
35,MPAVictoria,17,brewingrealty
36,JDfromCJAY,7,brewingrealty
37,DishntheKitchen,13,brewingrealty
38,FoodKarmaBlog,5,brewingrealty
39,anymomma,2,brewingrealty
40,adolwyn,33,brewingrealty
41,freshsqueezed,34,brewingrealty
42,Qyn,36,brewingrealty
43,Karone81,4,brewingrealty
44,danellew,3,brewingrealty
45,mmastrac,5,brewingrealty
46,NL66_,21,brewingrealty
47,thomsonjennifer,7,brewingrealty
48,Christanthia,2,brewingrealty
49,kaiielle,5,brewingrealty
50,CstCJMartin,20,brewingrealty
51,MindBHealing,1,brewingrealty
52,andrew_leach,5,brewingrealty
