,Poster,Likes_count,Liker
0,CoachRHeld,15,broncomaha
1,mikejschaefer,25,broncomaha
2,Husker247BC,4,broncomaha
3,CoachKBooth,6,broncomaha
4,MattSerweKETV,12,broncomaha
5,SageRosenfels18,11,broncomaha
6,BruceFeldmanCFB,19,broncomaha
7,jsutfin,5,broncomaha
8,damonbenning,13,broncomaha
9,joelklatt,6,broncomaha
10,PrinceAmukamara,5,broncomaha
11,Eagles,1,broncomaha
12,StephenAtHome,4,broncomaha
13,gbabyflt,1,broncomaha
14,BleacherReport,4,broncomaha
15,kevinkugler,5,broncomaha
16,kschellpeper1,4,broncomaha
17,NebraskaOnBTN,5,broncomaha
18,LarsAnderson71,1,broncomaha
19,AsianJoeEvans,13,broncomaha
20,S_Gutschewski,1,broncomaha
21,mollywood,5,broncomaha
22,coachwilhite,5,broncomaha
23,HuskerFBNation,5,broncomaha
24,MikelSevere,4,broncomaha
25,matthewjdowd,3,broncomaha
