,Poster,Likes_count,Liker
0,SirketDoktoru,35,cagatayozdogru
1,selalekadak,33,cagatayozdogru
2,okay_karacan,29,cagatayozdogru
3,KenanColpan,13,cagatayozdogru
4,AttilaKoksal,49,cagatayozdogru
5,hhokvuran,37,cagatayozdogru
6,1907FBD,7,cagatayozdogru
7,LutfuTurkkan,20,cagatayozdogru
8,ismail_gulle,14,cagatayozdogru
9,mehmetkaracaitu,40,cagatayozdogru
10,snitubasket,37,cagatayozdogru
11,Ozalpay10,16,cagatayozdogru
12,rifatperahya,78,cagatayozdogru
13,enisbehar,40,cagatayozdogru
14,kazgank,39,cagatayozdogru
15,fatihguldal,37,cagatayozdogru
16,MarkKennedyUND,22,cagatayozdogru
17,NailOlpak,34,cagatayozdogru
