,Poster,Likes_count,Liker
0,BurgerKing,12,champagne_shawn
1,alien7678,18,champagne_shawn
2,Forbes,3,champagne_shawn
3,NASA,13,champagne_shawn
4,SpaceX,98,champagne_shawn
5,Senators,19,champagne_shawn
6,Space_Station,14,champagne_shawn
7,hey_ashiwel,7,champagne_shawn
8,BoyanSlat,24,champagne_shawn
9,nichegamer,18,champagne_shawn
10,JohnnaCrider1,43,champagne_shawn
11,elonmusk,278,champagne_shawn
12,LeilaniMunter,6,champagne_shawn
13,DomTheBomb1998,13,champagne_shawn
14,KaziooFX,4,champagne_shawn
15,ErikKarlsson65,4,champagne_shawn
16,NYSE,16,champagne_shawn
