,Poster,Likes_count,Liker
0,Puth_Troop,15,charlieputh
1,beansputh,16,charlieputh
2,MissyElliott,15,charlieputh
3,scooterbraun,11,charlieputh
4,stephenputh,4,charlieputh
5,joytocandace,8,charlieputh
6,Alexa81304672,14,charlieputh
7,ChantelJeffries,12,charlieputh
8,Yoshino2319,12,charlieputh
9,pandoramusic,5,charlieputh
10,sydholla,31,charlieputh
11,Moana_mahaloha,10,charlieputh
12,isneaktweet,4,charlieputh
13,_tsujinana,9,charlieputh
14,I_love_charliep,20,charlieputh
15,Jonahmaraishugs,16,charlieputh
16,BBCR1,18,charlieputh
17,BarbraStreisand,18,charlieputh
18,nytimesmusic,2,charlieputh
19,ChartsCharlie,18,charlieputh
20,HajrullahuRiola,2,charlieputh
21,Mia_america_13,31,charlieputh
