,Poster,Likes_count,Liker
0,andremoulu,32,clavoillotte
1,gentilkiwi,30,clavoillotte
2,ropnop,34,clavoillotte
3,RobertMaguire_,28,clavoillotte
4,scriptjunkie1,20,clavoillotte
5,TinkerSec,15,clavoillotte
6,mattifestation,26,clavoillotte
7,AnnaGHughes,35,clavoillotte
8,wolfmailman,29,clavoillotte
9,tiraniddo,69,clavoillotte
10,videocats,12,clavoillotte
11,FluffSociety,35,clavoillotte
12,_SJPeace_,16,clavoillotte
13,ABC,21,clavoillotte
14,taviso,38,clavoillotte
15,MalwareJake,14,clavoillotte
16,Chateau_Margaux,33,clavoillotte
17,hanno,27,clavoillotte
