,Poster,Likes_count,Liker
0,nycsouthpaw,17,codytfenwick
1,ShaneGoldmacher,3,codytfenwick
2,matthewamiller,4,codytfenwick
3,TheLastWord,1,codytfenwick
4,jbouie,3,codytfenwick
5,moryan,3,codytfenwick
6,FederalistPitch,3,codytfenwick
7,stuartpstevens,5,codytfenwick
8,Zeddary,6,codytfenwick
9,jonathanvswan,2,codytfenwick
10,Noahpinion,3,codytfenwick
11,kyledcheney,5,codytfenwick
12,renato_mariotti,3,codytfenwick
13,K8brannen,5,codytfenwick
14,ElectProject,2,codytfenwick
15,YousefMunayyer,4,codytfenwick
16,alplicable,4,codytfenwick
17,chrisgeidner,1,codytfenwick
