,Poster,Likes_count,Liker
0,anne_stout,29,d_ncanb
1,MartinFoleyMP,17,d_ncanb
2,RealSardonicus,97,d_ncanb
3,timdunlop,6,d_ncanb
4,JPMajor,17,d_ncanb
5,akokitamura,76,d_ncanb
6,StrikeClimate,19,d_ncanb
7,DoctorKarl,25,d_ncanb
8,astroduff,46,d_ncanb
9,shannonmstirone,47,d_ncanb
10,TerryLovejoy66,6,d_ncanb
11,SarahEBond,21,d_ncanb
12,patbolo,20,d_ncanb
13,Cmdr_Hadfield,33,d_ncanb
14,GrogsGamut,28,d_ncanb
15,NASAInSight,18,d_ncanb
16,DavidBflower,124,d_ncanb
17,upulie,47,d_ncanb
18,elonmusk,26,d_ncanb
19,slamup,103,d_ncanb
20,mjrowland68,20,d_ncanb
