,Poster,Likes_count,Liker
0,IanPavelko,48,darryl_hynes
1,MarvelStudios,20,darryl_hynes
2,TheTeslaLife,39,darryl_hynes
3,ByeonChansoo,30,darryl_hynes
4,SpaceX,5,darryl_hynes
5,BenoitBertrand5,9,darryl_hynes
6,elonmusk,95,darryl_hynes
7,MortenBoegild,3,darryl_hynes
8,TheRealStanLee,12,darryl_hynes
9,ani_seh,28,darryl_hynes
10,JimBridenstine,10,darryl_hynes
11,AdamStewart,19,darryl_hynes
12,AMAZlNGNATURE,27,darryl_hynes
13,NASAInSight,4,darryl_hynes
14,dalook74,23,darryl_hynes
15,Model3Owners,17,darryl_hynes
16,themodel3guy,23,darryl_hynes
