,Poster,Likes_count,Liker
0,mehmetkesimoglu,9,degirmencirfan
1,daisyelff,32,degirmencirfan
2,BirGun_Gazetesi,78,degirmencirfan
3,gazetesozcu,4,degirmencirfan
4,canitti,30,degirmencirfan
5,solhaberportali,30,degirmencirfan
6,dokuz8haber,5,degirmencirfan
7,sevvallsirin,34,degirmencirfan
8,Sosyalmedyatvel,5,degirmencirfan
9,s_turpcu,26,degirmencirfan
10,cakir_rusen,21,degirmencirfan
11,indigodergisi,6,degirmencirfan
12,mehvesevin,28,degirmencirfan
13,gamzetascier,20,degirmencirfan
14,Sukrukucuksahin,7,degirmencirfan
15,piyeremerik,43,degirmencirfan
16,cumhuriyetgzt,25,degirmencirfan
17,ibrhmvarli,7,degirmencirfan
18,ozgurmumcu,11,degirmencirfan
19,Gunes_abla,35,degirmencirfan
20,diskinsesi,26,degirmencirfan
21,evrenselgzt,38,degirmencirfan
22,cigdemtoker,8,degirmencirfan
23,EkonomikVeri,31,degirmencirfan
24,selinsayekboke,25,degirmencirfan
25,odatv,7,degirmencirfan
26,fatih_yasli,4,degirmencirfan
