,Poster,Likes_count,Liker
0,ConnieSchultz,30,dholtzjr
1,lakestreetdive,3,dholtzjr
2,RLQ_Rosie,7,dholtzjr
3,The_UnSilent_,24,dholtzjr
4,PFTompkins,9,dholtzjr
5,TheTweetOfGod,8,dholtzjr
6,LOLGOP,5,dholtzjr
7,McCreadyForNC,2,dholtzjr
8,RepBarbaraLee,23,dholtzjr
9,GuthrieGF,27,dholtzjr
10,ChelseaClinton,7,dholtzjr
11,krassenstein,6,dholtzjr
12,ABC7Veronica,20,dholtzjr
13,dodo,27,dholtzjr
14,MsgToObserver,5,dholtzjr
15,MikeDrucker,7,dholtzjr
16,ASlavitt,18,dholtzjr
17,RahsaanSalaam,10,dholtzjr
18,perlmutations,12,dholtzjr
19,Nicole_Cliffe,15,dholtzjr
20,JoyAnnReid,26,dholtzjr
21,GeraldoRivera,20,dholtzjr
22,RepSwalwell,11,dholtzjr
