,Poster,Likes_count,Liker
0,slpng_giants,13,doodlewhale
1,Stop_Trump20,11,doodlewhale
2,SalAtki74,5,doodlewhale
3,mutablejoe,9,doodlewhale
4,preta_6,25,doodlewhale
5,Patreon,9,doodlewhale
6,Okeating,15,doodlewhale
7,aljwhite,5,doodlewhale
8,BBCNewsnight,3,doodlewhale
9,EDP24,3,doodlewhale
10,MCJPeel,10,doodlewhale
11,Glinner,15,doodlewhale
12,JimMFelton,15,doodlewhale
13,rRetro87,9,doodlewhale
14,LaylaMoran,1,doodlewhale
15,imaan_moosa,3,doodlewhale
16,Baddiel,9,doodlewhale
17,PUNC17DawneJ,3,doodlewhale
18,DJTommyTrouble,11,doodlewhale
19,SirSandGoblin,4,doodlewhale
20,DavidLammy,3,doodlewhale
21,MooseAllain,28,doodlewhale
22,ProBirdRights,4,doodlewhale
23,World_of_Moose,9,doodlewhale
24,ProfFeynman,12,doodlewhale
25,Helen_Wade_,24,doodlewhale
26,carolecadwalla,11,doodlewhale
27,BootstrapCook,23,doodlewhale
28,frizzychick,6,doodlewhale
29,mrchrisaddison,4,doodlewhale
30,DeborahMeaden,25,doodlewhale
