,Poster,Likes_count,Liker
0,Sara_Mueller,5,dougducey
1,jgm41,26,dougducey
2,BeschlossDC,10,dougducey
3,PatPtak,26,dougducey
4,MeghanMcCain,12,dougducey
5,barrybroome,16,dougducey
6,ARobles125,20,dougducey
7,drcarachrist,15,dougducey
8,KellyO,8,dougducey
9,kyrstensinema,10,dougducey
10,ClaudiaPavlovic,12,dougducey
11,HermosilloGob,21,dougducey
12,KimFisher4edu,5,dougducey
13,BenSasse,1,dougducey
14,CBSNews,8,dougducey
15,JebBush,38,dougducey
16,ConsulClaudiaF1,5,dougducey
17,jacknicklaus,20,dougducey
18,AZTreasury,2,dougducey
19,azcommerce,23,dougducey
20,SecretService,49,dougducey
21,jeremyduda,12,dougducey
22,senatorshoshana,20,dougducey
