,Poster,Likes_count,Liker
0,aral,6,ensaktas
1,ceotudent,8,ensaktas
2,marvelapp,28,ensaktas
3,ouzar,24,ensaktas
4,okadioglu,4,ensaktas
5,sputnik_TR,24,ensaktas
6,dilekmidilemek,13,ensaktas
7,FerdiCildiz,35,ensaktas
8,designershumor,21,ensaktas
9,tgybalci,16,ensaktas
10,GozumdeCanlanir,28,ensaktas
11,PicturesFoIder,23,ensaktas
12,yalcinozgan,21,ensaktas
13,mikaelainalem,2,ensaktas
14,danielkorpai,3,ensaktas
15,siyasifenomen,13,ensaktas
16,rrhoover,8,ensaktas
17,fatihsabovic,29,ensaktas
18,libidozman,2,ensaktas
19,mimic_xr,5,ensaktas
20,mortenjust,5,ensaktas
21,uxlinks,16,ensaktas
22,icimizdekipic,3,ensaktas
23,ahval_tr,27,ensaktas
24,VladTephec,33,ensaktas
25,efsanekesit,37,ensaktas
26,_Daminator,17,ensaktas
27,ysmnbyr1923,17,ensaktas
28,CoderBora,26,ensaktas
29,betulland,3,ensaktas
