,Poster,Likes_count,Liker
0,pitchfork,18,envirouzts
1,Margerama100,1,envirouzts
2,vizjourno,2,envirouzts
3,TravisFain,26,envirouzts
4,kashanacauley,48,envirouzts
5,Fahrenthold,52,envirouzts
6,traceyecorder,26,envirouzts
7,lisasorg,34,envirouzts
8,RaleighReporter,14,envirouzts
9,AudreLawdAMercy,69,envirouzts
10,tinudiver,25,envirouzts
11,ludkmr,106,envirouzts
12,FrontierTony,40,envirouzts
13,WaterPotential,8,envirouzts
14,Sarah_Willets,46,envirouzts
15,aparnapkin,48,envirouzts
16,cathyclabby,25,envirouzts
17,DaggumRoy,15,envirouzts
18,EnvAmAnna,2,envirouzts
19,GavinBade,32,envirouzts
20,JoeBrunoWSOC9,23,envirouzts
21,JerryDunleavy,17,envirouzts
22,malindalowery,15,envirouzts
23,LangReynolds,1,envirouzts
