,Poster,Likes_count,Liker
0,ColeyMick,23,esizemo
1,CaucasianJames,25,esizemo
2,JAAVRGSJ,11,esizemo
3,MelissaDeutsch1,17,esizemo
4,sthompson9598,31,esizemo
5,johnistoasted,4,esizemo
6,sarahhanshaw6,16,esizemo
7,texas_jules,4,esizemo
8,UberFacts,8,esizemo
9,clvrkwoods,2,esizemo
10,garyfromteenmom,3,esizemo
11,TravusHertl,5,esizemo
12,abbygov,3,esizemo
13,collegeprobIem,5,esizemo
14,EliNicholes,1,esizemo
15,DragonflyJonez,1,esizemo
16,holy_schnitt,19,esizemo
17,Sadieisonfire,1,esizemo
18,dog_rates,5,esizemo
19,jakegrnr,5,esizemo
20,PrettyboiiDB_9,4,esizemo
21,tay_mc_,1,esizemo
22,dxxnya,5,esizemo
23,gaywonk,5,esizemo
