,Poster,Likes_count,Liker
0,marnipanas,25,everydayelise
1,keithmcarthur,10,everydayelise
2,poor_choices,46,everydayelise
3,Calgaryexpo,14,everydayelise
4,DanRather,15,everydayelise
5,hellobeverley,21,everydayelise
6,BarackObama,12,everydayelise
7,LifeWithJohn,33,everydayelise
8,SketchesbyBoze,21,everydayelise
9,WomensRadio,46,everydayelise
10,sharonfisher68,17,everydayelise
11,CdnKnight,15,everydayelise
12,VibesPetri,22,everydayelise
13,voyagevixen,42,everydayelise
14,JessMagdefrau,27,everydayelise
15,tim_fargo,19,everydayelise
16,jfiliatrault,4,everydayelise
