,Poster,Likes_count,Liker
0,Claire_Voltaire,25,foxyforecaster
1,sanderwagner,18,foxyforecaster
2,phl43,20,foxyforecaster
3,realwokieleaks,17,foxyforecaster
4,razibkhan,9,foxyforecaster
5,0K_ultra,16,foxyforecaster
6,MWStory,30,foxyforecaster
7,cognitivicta,20,foxyforecaster
8,edwest,4,foxyforecaster
9,Halalcoholism,17,foxyforecaster
10,roreiy,12,foxyforecaster
11,BradCLemley,5,foxyforecaster
12,Suppose_Not,18,foxyforecaster
13,toad_spotted,2,foxyforecaster
14,RandyRenstrom,3,foxyforecaster
15,mirriam71,3,foxyforecaster
16,soft_pwr,19,foxyforecaster
17,deadbydawn75,30,foxyforecaster
18,grodaeu,14,foxyforecaster
19,Outsideness,16,foxyforecaster
20,ChrisBestTwit,26,foxyforecaster
21,Yair_Rosenberg,4,foxyforecaster
22,GabrielRossman,4,foxyforecaster
23,amiguello1,26,foxyforecaster
